n,plus,multi,minus
1,0.000129,7.3e-05,8.4e-05
2,3.4e-05,2.4e-05,2.9e-05
3,2.4e-05,1.9e-05,2.2e-05
4,2.1e-05,1.7e-05,2e-05
5,1.9e-05,1.5e-05,1.9e-05
6,1.9e-05,1.5e-05,1.9e-05
7,1.9e-05,1.5e-05,2e-05
8,1.9e-05,1.5e-05,1.9e-05
9,1.8e-05,1.5e-05,1.9e-05
10,1.9e-05,1.5e-05,1.9e-05
11,1.8e-05,1.5e-05,1.9e-05
12,1.9e-05,1.5e-05,1.9e-05
13,1.9e-05,1.5e-05,1.8e-05
14,2.9e-05,1.5e-05,1.9e-05
15,1.7e-05,1.5e-05,1.9e-05
16,1.5e-05,1.5e-05,1.9e-05
17,1.5e-05,1.5e-05,3e-05
18,1.5e-05,1.5e-05,1.9e-05
19,1.5e-05,1.5e-05,1.8e-05
20,1.5e-05,1.5e-05,1.8e-05
21,1.5e-05,1.5e-05,1.8e-05
22,1.5e-05,1.5e-05,1.8e-05
23,1.5e-05,1.5e-05,1.9e-05
24,1.5e-05,1.5e-05,1.8e-05
25,1.4e-05,1.5e-05,1.8e-05
26,1.4e-05,1.5e-05,1.9e-05
27,1.4e-05,1.5e-05,1.8e-05
28,1.8e-05,1.4e-05,1.8e-05
29,1.5e-05,1.5e-05,1.8e-05
30,1.5e-05,1.5e-05,1.8e-05
31,1.5e-05,1.6e-05,1.9e-05
32,1.5e-05,2e-05,1.9e-05
33,1.5e-05,1.7e-05,1.9e-05
34,1.5e-05,1.8e-05,1.5e-05
35,1.5e-05,1.5e-05,1.4e-05
36,1.5e-05,1.6e-05,1.5e-05
37,1.5e-05,1.5e-05,1.5e-05
38,1.5e-05,1.5e-05,1.5e-05
39,1.5e-05,1.5e-05,1.5e-05
40,1.5e-05,1.5e-05,1.5e-05
41,1.5e-05,1.5e-05,1.5e-05
42,1.6e-05,1.5e-05,1.6e-05
43,1.5e-05,1.5e-05,1.5e-05
44,1.5e-05,1.5e-05,1.5e-05
45,1.5e-05,1.5e-05,1.5e-05
46,1.5e-05,1.5e-05,1.5e-05
47,1.5e-05,1.5e-05,1.6e-05
48,1.4e-05,1.5e-05,3.4e-05
49,1.5e-05,1.5e-05,3e-05
50,1.5e-05,1.5e-05,2.5e-05
51,1.5e-05,1.5e-05,2.5e-05
52,1.5e-05,1.5e-05,2.5e-05
53,1.4e-05,1.5e-05,2.6e-05
54,1.5e-05,1.5e-05,2.6e-05
55,1.5e-05,1.6e-05,2.5e-05
56,1.5e-05,1.5e-05,2.6e-05
57,1.5e-05,1.5e-05,3.6e-05
58,1.5e-05,1.5e-05,2.3e-05
59,1.5e-05,1.6e-05,2.8e-05
60,1.5e-05,1.6e-05,2.4e-05
61,1.5e-05,1.5e-05,2.5e-05
62,1.5e-05,1.5e-05,2.6e-05
63,1.5e-05,1.5e-05,2.3e-05
64,1.5e-05,1.5e-05,2.7e-05
65,2e-05,1.5e-05,2.3e-05
66,1.7e-05,1.6e-05,2.6e-05
67,1.6e-05,1.6e-05,2.7e-05
68,1.5e-05,1.5e-05,2.3e-05
69,1.6e-05,1.5e-05,2.6e-05
70,1.5e-05,1.6e-05,2.5e-05
71,1.5e-05,1.6e-05,2.6e-05
72,1.6e-05,1.6e-05,2.6e-05
73,1.5e-05,1.6e-05,2.6e-05
74,1.5e-05,1.5e-05,2.7e-05
75,1.5e-05,1.5e-05,2.3e-05
76,1.5e-05,1.6e-05,2.6e-05
77,1.5e-05,1.6e-05,3e-05
78,1.9e-05,1.6e-05,2.4e-05
79,1.7e-05,1.5e-05,2.8e-05
80,1.7e-05,1.6e-05,2.7e-05
81,1.6e-05,1.6e-05,2.6e-05
82,1.6e-05,1.6e-05,2.3e-05
83,1.6e-05,1.7e-05,2.5e-05
84,1.6e-05,1.6e-05,2.6e-05
85,1.6e-05,1.6e-05,3.5e-05
86,1.6e-05,1.6e-05,2.5e-05
87,1.6e-05,1.6e-05,2.6e-05
88,1.6e-05,1.6e-05,2.4e-05
89,1.6e-05,1.6e-05,1.6e-05
90,1.6e-05,1.6e-05,1.5e-05
91,1.6e-05,1.6e-05,1.5e-05
92,1.6e-05,1.6e-05,1.6e-05
93,1.6e-05,1.6e-05,1.6e-05
94,1.6e-05,1.6e-05,1.6e-05
95,1.6e-05,1.6e-05,1.5e-05
96,1.6e-05,1.6e-05,1.5e-05
97,1.5e-05,1.5e-05,1.6e-05
98,1.6e-05,1.5e-05,1.5e-05
99,1.9e-05,1.5e-05,1.5e-05
100,1.7e-05,1.6e-05,1.6e-05
101,1.6e-05,1.6e-05,1.5e-05
102,1.6e-05,1.6e-05,1.5e-05
103,1.6e-05,1.5e-05,1.6e-05
104,1.6e-05,1.6e-05,1.6e-05
105,1.6e-05,1.6e-05,1.6e-05
106,1.6e-05,1.6e-05,1.5e-05
107,1.6e-05,1.6e-05,1.5e-05
108,1.5e-05,1.6e-05,1.5e-05
109,1.5e-05,1.6e-05,1.6e-05
110,2.1e-05,1.6e-05,1.5e-05
111,1.7e-05,1.6e-05,1.6e-05
112,1.7e-05,1.6e-05,1.5e-05
113,1.6e-05,1.6e-05,1.5e-05
114,4.1e-05,1.6e-05,1.6e-05
115,3.4e-05,1.6e-05,1.7e-05
116,2.4e-05,1.6e-05,1.6e-05
117,2e-05,1.6e-05,1.6e-05
118,1.8e-05,1.6e-05,1.6e-05
119,1.6e-05,1.6e-05,1.6e-05
120,1.7e-05,1.6e-05,1.6e-05
121,1.7e-05,1.6e-05,1.6e-05
122,1.6e-05,1.6e-05,1.6e-05
123,1.6e-05,1.6e-05,1.6e-05
124,1.6e-05,1.6e-05,1.6e-05
125,1.6e-05,1.5e-05,1.6e-05
126,1.6e-05,1.6e-05,1.6e-05
127,1.7e-05,1.6e-05,1.7e-05
128,1.6e-05,1.6e-05,1.6e-05
129,1.6e-05,1.6e-05,1.6e-05
130,1.7e-05,1.6e-05,1.7e-05
131,1.7e-05,1.6e-05,1.6e-05
132,1.6e-05,1.8e-05,1.6e-05
133,1.5e-05,1.6e-05,1.6e-05
134,1.6e-05,1.6e-05,1.6e-05
135,1.7e-05,1.6e-05,1.6e-05
136,1.6e-05,1.7e-05,1.6e-05
137,1.6e-05,1.6e-05,2.1e-05
138,1.6e-05,1.6e-05,1.7e-05
139,1.6e-05,1.6e-05,1.6e-05
140,1.6e-05,1.6e-05,1.5e-05
141,1.6e-05,1.6e-05,1.6e-05
142,1.6e-05,1.6e-05,1.6e-05
143,1.6e-05,1.6e-05,1.6e-05
144,1.6e-05,1.6e-05,1.6e-05
145,1.6e-05,1.7e-05,1.6e-05
146,1.5e-05,1.6e-05,1.6e-05
147,1.6e-05,1.6e-05,1.6e-05
148,1.7e-05,1.6e-05,1.6e-05
149,1.6e-05,1.6e-05,1.6e-05
150,1.6e-05,1.7e-05,1.6e-05
151,1.6e-05,1.7e-05,1.6e-05
152,1.6e-05,1.7e-05,1.6e-05
153,1.7e-05,1.7e-05,1.6e-05
154,1.6e-05,1.6e-05,1.6e-05
155,1.6e-05,1.6e-05,1.6e-05
156,1.6e-05,1.6e-05,1.6e-05
157,1.6e-05,1.7e-05,1.6e-05
158,1.6e-05,1.7e-05,1.7e-05
159,2.1e-05,1.6e-05,1.6e-05
160,1.8e-05,1.6e-05,1.6e-05
161,1.6e-05,1.7e-05,1.6e-05
162,1.7e-05,1.6e-05,1.6e-05
163,1.6e-05,1.6e-05,1.7e-05
164,1.6e-05,1.6e-05,1.6e-05
165,1.7e-05,1.6e-05,1.7e-05
166,1.6e-05,1.6e-05,1.6e-05
167,1.7e-05,1.6e-05,1.7e-05
168,1.6e-05,1.6e-05,1.6e-05
169,1.6e-05,1.7e-05,1.6e-05
170,1.6e-05,1.7e-05,1.7e-05
171,1.6e-05,1.7e-05,1.6e-05
172,1.7e-05,1.6e-05,1.6e-05
173,1.6e-05,1.7e-05,1.6e-05
174,2.1e-05,1.7e-05,1.7e-05
175,1.7e-05,1.7e-05,1.7e-05
176,1.6e-05,1.6e-05,1.6e-05
177,1.6e-05,1.6e-05,1.6e-05
178,1.7e-05,1.6e-05,1.6e-05
179,1.6e-05,2.1e-05,1.6e-05
180,1.6e-05,1.7e-05,1.6e-05
181,1.6e-05,1.7e-05,1.7e-05
182,1.6e-05,1.7e-05,1.7e-05
183,1.6e-05,1.7e-05,1.6e-05
184,1.7e-05,1.7e-05,1.6e-05
185,1.6e-05,1.6e-05,2.3e-05
186,1.6e-05,1.6e-05,1.8e-05
187,1.7e-05,1.6e-05,1.7e-05
188,1.6e-05,1.6e-05,1.7e-05
189,1.6e-05,1.7e-05,1.6e-05
190,1.6e-05,1.7e-05,1.6e-05
191,1.6e-05,1.6e-05,1.7e-05
192,1.7e-05,1.6e-05,1.6e-05
193,1.6e-05,1.6e-05,1.6e-05
194,1.6e-05,1.6e-05,1.7e-05
195,1.7e-05,1.6e-05,1.7e-05
196,1.6e-05,1.6e-05,1.7e-05
197,1.6e-05,1.6e-05,1.6e-05
198,1.6e-05,1.7e-05,1.6e-05
199,1.6e-05,1.7e-05,1.6e-05
200,1.6e-05,1.7e-05,1.7e-05
201,1.7e-05,1.6e-05,1.6e-05
202,2e-05,1.7e-05,1.6e-05
203,1.8e-05,1.7e-05,1.6e-05
204,1.7e-05,1.7e-05,1.7e-05
205,1.6e-05,1.7e-05,1.7e-05
206,1.6e-05,1.6e-05,1.6e-05
